ID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	
1	3	4	1	3	2	4	1	4	3	2	1	3	2	4	3	1	4	2	1	3	2	4	1	3	4	
2	3	4	1	3	2	4	1	4	3	2	1	2	2	4	3	1	4	2	1	3	2	1	1	3	2	
3	3	4	1	3	2	4	1	4	3	2	1	2	2	4	3	1	4	2	1	3	2	4	1	3	2	
4	3	4	4	3	2	4	1	4	1	2	1	3	2	4	3	1	4	2	1	3	2	4	1	3	2	
5	3	4	4	3	2	3	1	4	2	2	1	2	2	4	3	1	4	2	1	3	2	4	1	3	2	
6	3	4	1	3	2	4	1	4	3	2	1	3	2	4	3	1	4	2	1	2	2	3	1	3	1	
7	3	4	1	3	2	4	1	4	3	2	1	3	2	4	3	1	4	2	1	2	2	NA	1	3	1	
8	3	4	1	4	2	4	1	4	3	2	1	3	2	4	3	1	4	2	1	3	2	4	1	3	2	
9	3	4	1	3	4	4	1	4	3	2	1	3	2	4	3	1	4	2	1	3	2	1	1	3	1	
10	3	4	1	3	2	NA	1	4	3	2	1	3	2	4	3	1	4	2	1	3	2	4	1	3	2	
11	3	4	1	3	2	4	1	4	3	2	1	3	2	4	3	1	4	2	1	3	2	4	1	3	2	
12	3	3	4	3	3	3	1	4	1	2	1	2	2	4	3	1	4	2	1	3	2	1	1	3	2	
13	3	4	1	3	2	4	1	4	2	2	1	3	2	4	4	1	4	2	1	3	2	1	1	3	2	
14	3	2	1	3	2	2	1	4	2	2	1	2	2	4	3	1	2	4	1	2	4	3	1	2	3	
15	3	4	1	3	2	4	4	4	1	1	1	2	2	4	3	1	4	2	1	3	2	4	1	3	1	
16	3	4	1	3	2	4	1	4	2	1	1	2	2	4	3	1	4	2	1	3	2	4	1	3	1	
17	3	4	4	3	2	2	1	4	3	2	1	2	2	4	3	1	1	2	1	3	2	1	1	3	4	
18	3	4	1	3	2	4	2	1	1	4	1	1	2	4	3	1	1	2	1	3	4	2	2	4	2	
19	3	4	1	3	2	4	1	4	3	2	1	3	2	4	3	1	4	2	1	3	2	3	1	3	2	
20	3	4	1	3	2	4	1	4	1	2	1	2	2	4	2	1	4	2	1	2	2	1	2	1	2	
21	3	4	1	3	2	4	1	4	3	2	1	3	2	4	3	1	4	2	1	3	2	4	1	3	2	
22	3	4	1	3	2	2	1	4	3	2	1	2	2	4	3	1	1	2	1	3	2	4	1	3	1	
23	3	4	1	3	2	4	1	4	2	2	1	2	2	4	4	1	4	2	1	3	2	4	1	3	2	
24	3	4	1	3	2	4	1	4	1	2	1	3	2	4	3	1	4	2	1	3	2	1	1	3	2	
25	3	4	1	3	2	4	1	4	3	2	1	3	2	4	4	1	4	2	1	3	2	4	1	3	2	
